index,state,year,gas_consumption (BBtu),coal_consumption (BBtu),renewable_consumption (BBtu),petroleum_consumption (BBtu),nuclear_consumption (BBtu),expenditures (M dollars),price (dollars per MBtu)
265,CO,2006,458911.0,394348.0,42229.0,506709.0,0.0,16309.6,16.94
266,CT,2006,175870.0,45722.0,35689.0,391609.0,173111.0,13711.2,23.09
267,DC,2006,29775.0,0.0,619.0,22535.0,0.0,2161.3,24.03
268,DE,2006,44787.0,56625.0,3619.0,122657.0,0.0,3421.5,19.76
269,FL,2006,917468.0,696215.0,192085.0,2018975.0,327934.0,58757.6,20.75
270,GA,2006,433920.0,892732.0,210818.0,1089023.0,333981.0,34265.7,16.45
271,HI,2006,179.0,16102.0,15528.0,295474.0,0.0,5729.1,24.33
272,IA,2006,207162.0,435187.0,142841.0,435701.0,53171.0,13544.5,15.59
273,ID,2006,79041.0,8212.0,147673.0,165353.0,0.0,5076.3,15.07
274,IL,2006,896138.0,1045398.0,109454.0,1340467.0,982498.0,42631.0,15.91
275,IN,2006,499753.0,1587100.0,55594.0,860450.0,0.0,27080.2,13.91
276,KS,2006,269274.0,364212.0,28423.0,351672.0,97570.0,10508.3,16.19
277,KY,2006,217166.0,1023263.0,70058.0,699444.0,0.0,18136.5,15.0
278,LA,2006,1346690.0,265214.0,150707.0,2127341.0,174634.0,40601.0,14.25
279,MA,2006,378026.0,112173.0,62215.0,648398.0,60832.0,24313.7,23.41
280,MD,2006,189179.0,324657.0,59415.0,538678.0,144320.0,19403.3,20.02
281,ME,2006,67557.0,6618.0,152966.0,235253.0,0.0,6214.9,17.13
282,MI,2006,816993.0,773595.0,130017.0,926618.0,303305.0,34457.0,16.66
283,MN,2006,358198.0,370814.0,129807.0,680945.0,137569.0,19840.6,16.08
284,MO,2006,257924.0,829054.0,43545.0,736536.0,105567.0,21411.9,16.67
285,MS,2006,315909.0,190057.0,63632.0,469598.0,108718.0,13028.1,16.98
286,MT,2006,75135.0,194307.0,123334.0,194283.0,0.0,4684.0,16.38
287,NC,2006,230169.0,777871.0,139856.0,918121.0,417016.0,30080.3,18.16
288,ND,2006,50007.0,414838.0,25802.0,136542.0,0.0,3404.8,11.36
289,NE,2006,131424.0,227444.0,55259.0,228780.0,93943.0,7216.7,15.94
290,NH,2006,64644.0,44807.0,36022.0,167795.0,98067.0,4994.9,21.84
291,NJ,2006,566724.0,116093.0,47800.0,1175190.0,339846.0,34337.7,19.02
292,NM,2006,227661.0,316221.0,28385.0,268257.0,0.0,7181.5,18.35
293,NV,2006,257595.0,84225.0,41987.0,291217.0,0.0,9958.6,20.05
294,NY,2006,1120196.0,256345.0,401535.0,1556773.0,440606.0,58973.5,21.14
295,OH,2006,770872.0,1450797.0,77290.0,1289366.0,175798.0,44539.7,17.14
