state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu)
NH,2004,0,63829,0,43446,0,205481,106132,106132,34923,34926,3948.8,15.58
NJ,2004,0,644467,0,112707,0,1164799,282407,282407,27231,27603,26164.3,14.31
NM,2004,1828178,229164,510869,309418,374199,255866,0,0,12326,11714,5203.6,13.56
NV,2004,5,221648,0,193634,2685,260161,0,0,34321,38001,7056,15.68
NY,2004,47247,1126597,0,276470,986,1823746,423797,423797,358876,383432,48172.5,15.67
OH,2004,94628,862397,568593,1391290,33541,1303260,166328,166328,51267,66807,34592.2,12.84
OK,2004,1838548,555273,41850,372093,371067,526834,0,0,62058,62153,11306.6,12.33
OR,2004,473,238049,0,36460,0,368456,0,0,384622,387006,9090.6,13.21
PA,2004,206085,723189,1600275,1474310,13897,1475233,807739,807739,110371,118023,35785.3,13.13
RI,2004,0,74352,0,76,0,98408,0,0,3846,4535,2637.9,16.01
SC,2004,0,169518,0,433868,0,569746,533920,533920,97431,97441,13170.8,12.4
SD,2004,1095,41757,0,43562,7871,113059,0,0,83757,60251,2355.8,12.8
TN,2004,2169,238761,73354,648005,2094,765424,298369,298369,185184,179906,17442,12.17
TX,2004,5764490,4039787,572489,1626029,2277741,6161669,421660,421660,120812,123497,98235.3,11.41
UT,2004,297852,164154,490146,399704,85515,277475,0,0,10581,10715,5653.1,11.39
VA,2004,88073,285607,817769,452557,110,995785,295272,295272,110959,117963,21026.2,12.67
VT,2004,0,8708,0,25,0,95317,40231,40231,22039,22042,1988.3,15.96
WA,2004,0,269572,89958,112539,0,749526,93660,93660,817635,819551,15460,13.06
WI,2004,0,385999,0,499212,0,606012,123966,123966,108745,108704,16025.9,12.75
WV,2004,222720,129358,3724793,937062,10063,230361,0,0,19228,20765,5385.5,10.85
WY,2004,1772333,111878,6908962,500526,301252,153076,0,0,14434,14039,2859.7,10.31
US,2004,21549505,22927283,22821746,22464302,11550085,40148362,8222774,8222774,6062543,6074599,871210.2,12.9
AK,2005,548394,434704,22682,13994,1829245,333091,0,0,15866,15930,5215.8,13.99
AL,2005,327318,363398,518423,890098,45594,606840,330761,330761,279600,279983,18088.3,13.56
AR,2005,193576,216600,67,247169,35815,358312,142864,142864,112661,112738,10416.1,14.46
AZ,2005,239,329302,263426,428445,290,573763,269327,269327,78333,92285,16665.8,17.87
CA,2005,354384,2304463,0,67422,1335334,3741092,377313,377313,741338,819440,103574.2,17.46
CO,2005,1219801,478520,857038,386670,134717,489645,0,0,32983,35558,14654.8,15.15
CT,2005,0,171150,0,42023,0,443947,162406,162406,25727,29171,12423.7,19.62
DC,2005,0,33753,0,939,0,28656,0,0,47,263,2013,20.08
DE,2005,0,48639,0,56716,0,135389,0,0,954,1886,2937.2,16.48
FL,2005,3637,805446,0,672309,14993,2130793,300127,300127,184304,187675,49999,17.97
GA,2005,0,427825,0,901010,0,1120350,329092,329092,216430,218423,32370.7,15.29
HI,2005,0,195,0,16506,0,293847,0,0,12935,14186,4996.9,21.39
IA,2005,0,210742,0,429777,0,428465,47362,47362,215149,124866,12256.1,14.3
ID,2005,0,78118,0,11286,0,159726,0,0,121084,122267,4531.4,13.65
IL,2005,234,972710,727433,1047532,59201,1403414,973293,973293,138337,109784,41443.4,14.75
IN,2005,3191,535512,768995,1594399,10017,859731,0,0,58589,63826,25074.3,12.6
KS,2005,432051,258695,3955,379823,194996,341906,92055,92055,31101,22986,9303.3,14.9
KY,2005,97907,240853,2973897,986263,14703,697645,0,0,67438,74724,16633.5,13.57
LA,2005,1514680,1367497,61534,253518,436154,1975571,163598,163598,151309,151854,35459.1,13.13
MA,2005,0,386339,0,119333,0,737337,57138,57138,40795,46953,21568.6,19.51
MD,2005,48,211830,126671,329304,0,603981,153443,153443,43642,48562,17428.9,16.83
